mh_id,bird_sp,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
326,Sylvia melanocephala,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.4459194,36.9656001,NA
326,Turdus merula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459194,36.9656001,NA
326,NA,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4459194,36.9656001,NA
327,Cyanopica cooki,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4458679,36.9652232,NA
327,Erithacus rubecula,Puntal,PL,0.22,13,59.09090909090909,Pistacia lentiscus,-6.4458679,36.9652232,NA
327,Phoenicurus phoenicurus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4458679,36.9652232,NA
327,Sylvia atricapilla,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4458679,36.9652232,NA
327,Sylvia melanocephala,Puntal,PL,0.22,15,68.18181818181819,Pistacia lentiscus,-6.4458679,36.9652232,NA
327,Turdus merula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4458679,36.9652232,NA
327,NA,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4458679,36.9652232,NA
329,Erithacus rubecula,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4455066,36.9649852,NA
329,Sylvia melanocephala,Puntal,PL,0.22,12,54.54545454545455,Pistacia lentiscus,-6.4455066,36.9649852,NA
329,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4455066,36.9649852,NA
330,Erithacus rubecula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445291,36.9650264,NA
330,Sylvia cantillans,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445291,36.9650264,NA
330,Sylvia melanocephala,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.445291,36.9650264,NA
331,Erithacus rubecula,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4455509,36.9647392,NA
331,Sylvia atricapilla,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4455509,36.9647392,NA
331,Sylvia melanocephala,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4455509,36.9647392,NA
331,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4455509,36.9647392,NA
332,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457394,36.9652808,NA
332,Erithacus rubecula,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.4457394,36.9652808,NA
332,Sylvia hortensis,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4457394,36.9652808,NA
332,Sylvia melanocephala,Puntal,PL,0.22,8,36.36363636363637,Pistacia lentiscus,-6.4457394,36.9652808,NA
332,Sylvia undata,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457394,36.9652808,NA
