site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2019-20,2019-20 mid,2,326,239,218,149,69,21,87,62,0,69,0,25,5,NA,mid,0.6009174311926605,0.39908256880733944,0,0.33256880733944955,0.0665137614678899,0.03316733167262621,0.03316733167262621
puntal,2019-20,2019-20 late,3,326,36,36,30,6,0,25,5,1,5,0,NA,NA,NA,late,0.2777777777777778,0.7222222222222222,0,NA,NA,0.07465053470646806,0.07465053470646806
puntal,2018-19,2018-19 early,1,327,274,274,263,11,0,93,170,0,11,0,21,19,NA,early,0.6605839416058394,0.33941605839416056,0,0.1781934306569343,0.16122262773722626,0.028605853983244445,0.028605853983244445
puntal,2019-20,2019-20 early,1,327,141,141,141,0,0,66,75,0,0,0,7,23,NA,early,0.5319148936170213,0.46808510638297873,0,0.10921985815602837,0.3588652482269504,0.0420217302418721,0.0420217302418721
puntal,2019-20,2019-20 mid,2,327,96,65,64,1,31,53,11,0,1,9,18,2,NA,mid,0.18461538461538463,0.8153846153846154,0.13846153846153847,0.6092307692307692,0.0676923076923077,0.04812364593558783,0.04812364593558783
puntal,2019-20,2019-20 late,3,327,62,59,44,15,3,43,1,9,6,0,12,3,NA,late,0.11864406779661017,0.8813559322033898,0,0.7050847457627119,0.17627118644067796,0.042099086703182693,0.042099086703182693
puntal,2018-19,2018-19 early,1,328,219,214,158,56,5,74,84,0,56,0,19,21,NA,early,0.6542056074766355,0.34579439252336447,0,0.1642523364485981,0.18154205607476637,0.03251316272794225,0.03251316272794225
puntal,2018-19,2018-19 early,1,329,137,130,77,53,7,68,9,32,21,2,27,11,NA,early,0.23076923076923078,0.7692307692307693,0.015384615384615385,0.5356275303643725,0.2182186234817814,0.03695265087809703,0.03695265087809703
puntal,2019-20,2019-20 mid,2,329,45,39,34,5,6,15,19,0,5,1,35,11,NA,mid,0.6153846153846154,0.38461538461538464,0.02564102564102564,0.2731326644370123,0.08584169453734672,0.07790302823720512,0.07790302823720513
puntal,2019-20,2019-20 late,3,329,53,32,18,14,21,17,1,1,13,0,NA,NA,NA,late,0.4375,0.5625,0,NA,NA,0.08769509500251425,0.08769509500251425
puntal,2018-19,2018-19 early,1,330,442,421,408,13,21,237,171,0,13,1,27,14,NA,early,0.43705463182897863,0.5629453681710214,0.0023752969121140144,0.36915590058513414,0.19141417067377325,0.02417463584241909,0.02417463584241909
puntal,2019-20,2019-20 early,1,330,162,94,94,0,68,71,23,0,0,26,2,1,NA,early,0.24468085106382978,0.7553191489361702,0.2765957446808511,0.3191489361702128,0.1595744680851064,0.04434057411245872,0.04434057411245871
puntal,2019-20,2019-20 mid,2,330,248,218,202,16,30,110,92,0,16,0,25,5,NA,mid,0.4954128440366973,0.5045871559633027,0,0.42048929663608564,0.08409785932721711,0.03386284789988403,0.03386284789988403
puntal,2019-20,2019-20 late,3,330,74,55,29,26,19,20,9,4,22,0,NA,NA,NA,late,0.5636363636363636,0.43636363636363634,0,NA,NA,0.06687171072259324,0.06687171072259324
